date,price,type
6/1/19,2199,4 Bedroom
5/1/19,2190,4 Bedroom
4/1/19,2170,4 Bedroom
3/1/19,2195,4 Bedroom
2/1/19,2196,4 Bedroom
1/1/19,2274,4 Bedroom
12/1/18,2408,4 Bedroom
11/1/18,2775,4 Bedroom
10/1/18,2787,4 Bedroom
9/1/18,2474,4 Bedroom
8/1/18,2156,4 Bedroom
7/1/18,2104,4 Bedroom
6/1/18,1975,4 Bedroom
5/1/18,1955,4 Bedroom
4/1/18,2021,4 Bedroom
3/1/18,2047,4 Bedroom
2/1/18,2147,4 Bedroom
1/1/18,2224,4 Bedroom
12/1/17,2130,4 Bedroom
11/1/17,2250,4 Bedroom
10/1/17,2262,4 Bedroom
9/1/17,2315,4 Bedroom
8/1/17,2237,4 Bedroom
7/1/17,1995,4 Bedroom
6/1/17,1985,4 Bedroom
5/1/17,1994,4 Bedroom
4/1/17,1998,4 Bedroom
3/1/17,2033,4 Bedroom
2/1/17,2000,4 Bedroom
1/1/17,1987,4 Bedroom
12/1/16,2020,4 Bedroom
11/1/16,2321,4 Bedroom
10/1/16,2304,4 Bedroom
9/1/16,2013,4 Bedroom
8/1/16,2049,4 Bedroom
7/1/16,1935,4 Bedroom
6/1/16,1918,4 Bedroom
5/1/16,1923,4 Bedroom
4/1/16,1923,4 Bedroom
3/1/16,1967,4 Bedroom
2/1/16,1972,4 Bedroom
1/1/16,1940,4 Bedroom
12/1/15,1987,4 Bedroom
11/1/15,2012,4 Bedroom
10/1/15,1983,4 Bedroom
9/1/15,1790,4 Bedroom
8/1/15,1787,4 Bedroom
7/1/15,1843,4 Bedroom
6/1/15,1917,4 Bedroom
5/1/15,1854,4 Bedroom
4/1/15,1818,4 Bedroom
3/1/15,1803,4 Bedroom
2/1/15,1787,4 Bedroom
1/1/15,1799,4 Bedroom
12/1/14,1836,4 Bedroom
11/1/14,1850,4 Bedroom
